user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BIN238	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4131;s__RGIG4131 sp017536405	GCA_017536405.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4131;s__RGIG4131 sp017536405	97.45	0.79	GCA_017536405.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4131;s__RGIG4131 sp017536405	97.45	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4131;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017466865.1, s__RGIG4131 sp017466865, 95.0, 92.57, 0.64; GCA_017828955.1, s__RGIG4131 sp017828955, 95.0, 91.97, 0.74; GCA_015066785.1, s__RGIG4131 sp015066785, 95.0, 79.27, 0.22	77.52	11	N/A	N/A
BIN239	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG13868;s__RUG13868 sp017625395	GCA_017625395.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG13868;s__RUG13868 sp017625395	98.52	0.71	GCA_017625395.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG13868;s__RUG13868 sp017625395	98.52	0.71	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__RUG13868;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017525035.1, s__RUG13868 sp017525035, 95.0, 78.95, 0.27; GCA_902793375.1, s__RUG13868 sp902793375, 95.0, 78.71, 0.31; GCA_017477845.1, s__RUG13868 sp017477845, 95.0, 78.45, 0.32; GCA_902767365.1, s__RUG13868 sp902767365, 95.0, 77.44, 0.29	64.59	11	N/A	N/A
BIN24	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__	N/A	N/A	N/A	N/A	N/A	GCA_902373635.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp902373635	81.99	0.51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018712665.1, s__Pelethomonas intestinigallinarum, 95.0, 81.61, 0.39; GCA_910579965.1, s__Pelethomonas sp910579965, 95.0, 80.89, 0.47; GCA_910588365.1, s__Pelethomonas sp910588365, 95.0, 80.87, 0.46; GCA_910577915.1, s__Pelethomonas sp910577915, 95.0, 80.81, 0.45; GCA_910587785.1, s__Pelethomonas sp910587785, 95.0, 80.52, 0.45; GCA_900549475.1, s__Pelethomonas sp900549475, 95.0, 80.32, 0.42; GCA_017887695.1, s__Pelethomonas sp017887695, 95.0, 80.28, 0.36; GCA_014799925.1, s__Pelethomonas sp014799925, 95.0, 80.1, 0.39; GCA_900555795.1, s__Pelethomonas sp900555795, 95.0, 79.99, 0.27; GCA_009774055.1, s__Pelethomonas sp009774055, 95.0, 79.89, 0.35; GCA_910578505.1, s__Pelethomonas sp910578505, 95.0, 79.81, 0.39; GCA_014237695.1, s__Pelethomonas sp014237695, 95.0, 79.68, 0.24; GCA_910583885.1, s__Pelethomonas sp910583885, 95.0, 79.55, 0.36; GCA_910588045.1, s__Pelethomonas sp910588045, 95.0, 79.51, 0.4; GCA_014799845.1, s__Pelethomonas sp014799845, 95.0, 79.31, 0.3; GCA_910579485.1, s__Pelethomonas sp910579485, 95.0, 79.3, 0.41; GCA_014799915.1, s__Pelethomonas sp014799915, 95.0, 79.26, 0.33; GCA_910587505.1, s__Pelethomonas sp910587505, 95.0, 79.24, 0.39; GCA_910584045.1, s__Pelethomonas sp910584045, 95.0, 79.08, 0.34; GCA_910587645.1, s__Pelethomonas sp910587645, 95.0, 78.49, 0.25; GCA_910579725.1, s__Pelethomonas sp910579725, 95.0, 78.28, 0.34	52.44	11	0.942547173928212	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN240	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3766;s__	N/A	N/A	N/A	N/A	N/A	GCA_017473115.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3766;s__UBA3766 sp017473115	90.42	0.7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3766;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017622505.1, s__UBA3766 sp017622505, 95.0, 84.94, 0.59; GCA_015057025.1, s__UBA3766 sp015057025, 95.0, 83.71, 0.58; GCA_017624855.1, s__UBA3766 sp017624855, 95.0, 82.74, 0.39; GCA_017473905.1, s__UBA3766 sp017473905, 95.0, 78.8, 0.24; GCA_902790275.1, s__UBA3766 sp902790275, 95.0, 78.49, 0.06; GCA_015056945.1, s__UBA3766 sp015056945, 95.0, 78.4, 0.24; GCA_016284175.1, s__UBA3766 sp016284175, 95.0, 78.26, 0.09; GCA_017538995.1, s__UBA3766 sp017538995, 95.0, 77.92, 0.09; GCA_900100245.1, s__UBA3766 sp900100245, 95.0, 77.74, 0.07; GCA_900769175.1, s__UBA3766 sp900769175, 95.0, 77.59, 0.1; GCA_902765365.1, s__UBA3766 sp902765365, 95.0, 77.38, 0.07; GCA_017618075.1, s__UBA3766 sp017618075, 95.0, 77.2, 0.08; GCA_002368665.1, s__UBA3766 sp002368665, 95.0, 77.18, 0.1; GCA_902789665.1, s__UBA3766 sp902789665, 95.0, 77.03, 0.07; GCA_016285575.1, s__UBA3766 sp016285575, 95.0, 77.01, 0.06; GCA_017962225.1, s__UBA3766 sp017962225, 95.0, 76.99, 0.07; GCA_017518735.1, s__UBA3766 sp017518735, 95.0, 76.65, 0.1; GCA_002393735.1, s__UBA3766 sp002393735, 95.0, 76.58, 0.06; GCA_002369155.1, s__UBA3766 sp002369155, 95.0, 76.55, 0.05; GCA_902789265.1, s__UBA3766 sp902789265, 95.0, 76.52, 0.08; GCA_002494135.1, s__UBA3766 sp002494135, 95.0, 76.5, 0.07; GCA_900313265.1, s__UBA3766 sp900313265, 95.0, 76.2, 0.05; GCA_017613435.1, s__UBA3766 sp017613435, 95.0, 76.07, 0.06; GCA_902783455.1, s__UBA3766 sp902783455, 95.0, 75.94, 0.05; GCA_902803015.1, s__UBA3766 sp902803015, 95.0, 75.5, 0.05; GCA_902782715.1, s__UBA3766 sp902782715, 95.0, 75.45, 0.03	37.19	11	0.9969069055334988	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN241	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__Firm-04 sp017533485	GCA_017533485.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__Firm-04 sp017533485	98.79	0.71	GCA_017533485.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__Firm-04 sp017533485	98.79	0.71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Firm-04;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_016291435.1, s__Firm-04 sp016291435, 95.0, 78.04, 0.2; GCA_001603005.1, s__Firm-04 sp001603005, 95.0, 78.0, 0.21; GCA_001940925.1, s__Firm-04 sp001940925, 95.0, 77.98, 0.18; GCA_017427265.1, s__Firm-04 sp017427265, 95.0, 77.8, 0.22; GCA_017518255.1, s__Firm-04 sp017518255, 95.0, 77.76, 0.22; GCA_016281125.1, s__Firm-04 sp016281125, 95.0, 77.71, 0.2; GCA_017545185.1, s__Firm-04 sp017545185, 95.0, 77.7, 0.16; GCA_016295145.1, s__Firm-04 sp016295145, 95.0, 77.69, 0.11; GCA_016296505.1, s__Firm-04 sp016296505, 95.0, 77.66, 0.2; GCA_017523995.1, s__Firm-04 sp017523995, 95.0, 77.55, 0.23; GCA_017540225.1, s__Firm-04 sp017540225, 95.0, 77.53, 0.13; GCA_017460835.1, s__Firm-04 sp017460835, 95.0, 77.5, 0.21; GCA_003446315.1, s__Firm-04 sp003446315, 95.0, 77.43, 0.12; GCA_015066805.1, s__Firm-04 sp015066805, 95.0, 77.33, 0.18; GCA_016288755.1, s__Firm-04 sp016288755, 95.0, 77.31, 0.16; GCA_017550285.1, s__Firm-04 sp017550285, 95.0, 77.27, 0.21; GCA_002395085.1, s__Firm-04 sp002395085, 95.0, 77.25, 0.19; GCA_002394125.1, s__Firm-04 sp002394125, 95.0, 77.08, 0.21; GCA_017532085.1, s__Firm-04 sp017532085, 95.0, 77.05, 0.15; GCA_017541275.1, s__Firm-04 sp017541275, 95.0, 76.9, 0.16; GCA_018110935.1, s__Firm-04 sp018110935, 95.0, 76.6, 0.11; GCA_017550355.1, s__Firm-04 sp017550355, 95.0, 76.37, 0.14; GCA_017414145.1, s__Firm-04 sp017414145, 95.0, 76.07, 0.08	33.54	11	N/A	N/A
BIN242	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	23.67	11	0.8807731584972877	N/A
BIN243	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__SIG480;s__	N/A	N/A	N/A	N/A	N/A	GCA_017435965.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__SIG480;s__SIG480 sp017435965	83.74	0.4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__SIG480;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017408185.1, s__SIG480 sp017408185, 95.0, 83.39, 0.31; GCA_015068085.1, s__SIG480 sp015068085, 95.0, 83.15, 0.32; GCA_017439555.1, s__SIG480 sp017439555, 95.0, 81.08, 0.26; GCA_017409405.1, s__SIG480 sp017409405, 95.0, 78.94, 0.16; GCA_017532355.1, s__SIG480 sp017532355, 95.0, 77.68, 0.09; GCA_017559985.1, s__SIG480 sp017559985, 95.0, 77.54, 0.11	20.87	11	0.9744560688945201	N/A
BIN244	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__	ANI	classification based on placement in class-level tree	GCA_016296235.1, s__Avoscillospira sp016296235, 95.0, 80.84, 0.3; GCA_017938625.1, s__Avoscillospira sp017938625, 95.0, 79.63, 0.19; GCA_018713205.1, s__Avoscillospira stercorigallinarum, 95.0, 79.6, 0.21; GCA_017440525.1, s__Avoscillospira sp017440525, 95.0, 79.27, 0.18; GCA_018712245.1, s__Avoscillospira avicola, 95.0, 79.22, 0.19; GCA_018712905.1, s__Avoscillospira stercoripullorum, 95.0, 79.13, 0.19	47.04	11	0.9409953545451588	N/A
BIN245	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp015066445	GCA_015066445.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp015066445	97.86	0.66	GCA_015066445.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp015066445	97.86	0.66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002371985.1, s__UBA737 sp002371985, 95.0, 80.97, 0.1; GCA_015065685.1, s__UBA737 sp015065685, 95.0, 79.31, 0.31; GCA_017624675.1, s__UBA737 sp017624675, 95.0, 79.2, 0.29; GCA_017403065.1, s__UBA737 sp017403065, 95.0, 79.06, 0.34; GCA_015065645.1, s__UBA737 sp015065645, 95.0, 79.05, 0.21; GCA_017507805.1, s__UBA737 sp017507805, 95.0, 79.02, 0.23; GCA_017537365.1, s__UBA737 sp017537365, 95.0, 78.83, 0.26; GCA_017481865.1, s__UBA737 sp017481865, 95.0, 78.77, 0.36; GCA_017549905.1, s__UBA737 sp017549905, 95.0, 78.73, 0.42; GCA_017516445.1, s__UBA737 sp017516445, 95.0, 78.68, 0.3; GCA_017439585.1, s__UBA737 sp017439585, 95.0, 78.5, 0.27; GCA_017502965.1, s__UBA737 sp017502965, 95.0, 78.4, 0.3; GCA_017390725.1, s__UBA737 sp017390725, 95.0, 78.4, 0.29; GCA_017623315.1, s__UBA737 sp017623315, 95.0, 78.34, 0.19; GCA_902762875.1, s__UBA737 sp902762875, 95.0, 78.32, 0.18; GCA_904502215.1, s__UBA737 sp904502215, 95.0, 78.32, 0.37; GCA_017465085.1, s__UBA737 sp017465085, 95.0, 78.29, 0.13; GCA_015066005.1, s__UBA737 sp015066005, 95.0, 78.27, 0.19; GCA_017622555.1, s__UBA737 sp017622555, 95.0, 78.24, 0.24; GCA_017434895.1, s__UBA737 sp017434895, 95.0, 78.23, 0.25; GCA_015066095.1, s__UBA737 sp015066095, 95.0, 78.23, 0.23; GCA_015066515.1, s__UBA737 sp015066515, 95.0, 78.19, 0.13; GCA_015065725.1, s__UBA737 sp015065725, 95.0, 78.1, 0.2; GCA_017403265.1, s__UBA737 sp017403265, 95.0, 78.01, 0.21; GCA_017439845.1, s__UBA737 sp017439845, 95.0, 77.92, 0.13; GCA_017472575.1, s__UBA737 sp017472575, 95.0, 77.87, 0.22; GCA_017503305.1, s__UBA737 sp017503305, 95.0, 77.82, 0.19; GCA_017513195.1, s__UBA737 sp017513195, 95.0, 77.78, 0.15; GCA_017416285.1, s__UBA737 sp017416285, 95.0, 77.73, 0.22; GCA_900754145.1, s__UBA737 sp900754145, 95.0, 77.59, 0.16; GCA_017549565.1, s__UBA737 sp017549565, 95.0, 77.58, 0.2; GCA_904501875.1, s__UBA737 sp904501875, 95.0, 77.58, 0.25; GCA_017442225.1, s__UBA737 sp017442225, 95.0, 77.54, 0.15; GCA_900769375.1, s__UBA737 sp900769375, 95.0, 77.51, 0.12; GCA_900768035.1, s__UBA737 sp900768035, 95.0, 77.47, 0.31; GCA_002315685.1, s__UBA737 sp002315685, 95.0, 77.46, 0.16; GCA_900554525.1, s__UBA737 sp900554525, 95.0, 77.45, 0.08; GCA_902802375.1, s__UBA737 sp902802375, 95.0, 77.44, 0.09; GCA_017437005.1, s__UBA737 sp017437005, 95.0, 77.43, 0.14; GCA_017466905.1, s__UBA737 sp017466905, 95.0, 77.42, 0.13; GCA_900547445.1, s__UBA737 sp900547445, 95.0, 77.41, 0.18; GCA_016303035.1, s__UBA737 sp016303035, 95.0, 77.39, 0.15; GCA_002315765.1, s__UBA737 sp002315765, 95.0, 77.38, 0.09; GCA_017391425.1, s__UBA737 sp017391425, 95.0, 77.32, 0.18; GCA_017537195.1, s__UBA737 sp017537195, 95.0, 77.31, 0.26; GCA_905193585.1, s__UBA737 sp905193585, 95.0, 77.31, 0.13; GCA_017516965.1, s__UBA737 sp017516965, 95.0, 77.3, 0.13; GCA_017939855.1, s__UBA737 sp017939855, 95.0, 77.28, 0.16; GCA_016302625.1, s__UBA737 sp016302625, 95.0, 77.24, 0.15; GCA_002431945.1, s__UBA737 sp002431945, 95.0, 77.23, 0.11; GCA_015066165.1, s__UBA737 sp015066165, 95.0, 77.23, 0.17; GCA_900543215.1, s__UBA737 sp900543215, 95.0, 77.17, 0.16; GCA_900547095.1, s__UBA737 sp900547095, 95.0, 77.12, 0.11; GCA_900547305.1, s__UBA737 sp900547305, 95.0, 77.09, 0.09; GCA_017537245.1, s__UBA737 sp017537245, 95.0, 77.03, 0.11; GCA_002451855.1, s__UBA737 sp002451855, 95.0, 77.01, 0.14; GCA_017423885.1, s__UBA737 sp017423885, 95.0, 77.01, 0.08; GCA_905211675.1, s__UBA737 sp905211675, 95.0, 76.92, 0.12; GCA_017559885.1, s__UBA737 sp017559885, 95.0, 76.89, 0.12; GCA_900549755.1, s__UBA737 sp900549755, 95.0, 76.85, 0.11; GCA_017441045.1, s__UBA737 sp017441045, 95.0, 76.84, 0.1; GCA_902796165.1, s__UBA737 sp902796165, 95.0, 76.75, 0.09; GCA_017431035.1, s__UBA737 sp017431035, 95.0, 76.71, 0.07; GCA_016287385.1, s__UBA737 sp016287385, 95.0, 76.68, 0.04; GCA_002297415.1, s__UBA737 sp002297415, 95.0, 76.66, 0.12; GCA_017618135.1, s__UBA737 sp017618135, 95.0, 76.65, 0.07; GCA_905236975.1, s__UBA737 sp905236975, 95.0, 76.64, 0.05; GCA_017524165.1, s__UBA737 sp017524165, 95.0, 76.64, 0.06; GCA_902766855.1, s__UBA737 sp902766855, 95.0, 76.61, 0.03; GCA_017615405.1, s__UBA737 sp017615405, 95.0, 76.57, 0.08; GCA_900549055.1, s__UBA737 sp900549055, 95.0, 76.34, 0.11; GCA_902766755.1, s__UBA737 sp902766755, 95.0, 76.28, 0.08; GCA_017529165.1, s__UBA737 sp017529165, 95.0, 75.97, 0.12; GCA_002363095.1, s__UBA737 sp002363095, 95.0, 75.96, 0.06; GCA_017554405.1, s__UBA737 sp017554405, 95.0, 75.94, 0.06; GCA_017554125.1, s__UBA737 sp017554125, 95.0, 75.89, 0.05	63.3	11	N/A	N/A
BIN246	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha;s__	N/A	N/A	N/A	N/A	N/A	GCA_017416795.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha;s__Copromorpha sp017416795	79.46	0.19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_910585135.1, s__Copromorpha sp910585135, 95.0, 78.57, 0.21; GCA_902362435.1, s__Copromorpha sp900066305, 95.0, 78.24, 0.12; GCA_014306095.1, s__Copromorpha sp900549125, 95.0, 78.23, 0.14; GCA_017438285.1, s__Copromorpha sp017438285, 95.0, 78.05, 0.09; GCF_014385065.1, s__Copromorpha sp900545775, 95.0, 78.04, 0.07; GCA_015058205.1, s__Copromorpha sp015058205, 95.0, 77.91, 0.06; GCA_902786815.1, s__Copromorpha sp902786815, 95.0, 77.74, 0.08; GCA_017404365.1, s__Copromorpha sp017404365, 95.0, 77.64, 0.07; GCA_900543485.1, s__Copromorpha excrementipullorum, 95.0, 77.64, 0.1; GCA_002310095.1, s__Copromorpha sp002310095, 95.0, 77.61, 0.06; GCA_902795135.1, s__Copromorpha sp902795135, 95.0, 77.54, 0.08; GCA_017459895.1, s__Copromorpha sp017459895, 95.0, 77.43, 0.09; GCA_017457585.1, s__Copromorpha sp017457585, 95.0, 77.4, 0.07; GCA_902763505.1, s__Copromorpha sp902763505, 95.0, 77.4, 0.09; GCA_017431785.1, s__Copromorpha sp017431785, 95.0, 77.27, 0.09; GCA_018714925.1, s__Copromorpha excrementigallinarum, 95.0, 77.21, 0.07; GCA_902787725.1, s__Copromorpha sp902787725, 95.0, 77.15, 0.06; GCA_012513435.1, s__Copromorpha sp012513435, 95.0, 77.08, 0.09; GCA_017432345.1, s__Copromorpha sp017432345, 95.0, 77.07, 0.09; GCA_017431395.1, s__Copromorpha sp017431395, 95.0, 76.96, 0.09; GCA_018065295.1, s__Copromorpha sp018065295, 95.0, 76.94, 0.05; GCA_905193765.1, s__Copromorpha sp905193765, 95.0, 76.73, 0.08; GCA_902796875.1, s__Copromorpha sp902796875, 95.0, 76.55, 0.07; GCA_015058145.1, s__Copromorpha sp015058145, 95.0, 76.55, 0.07; GCA_900542385.1, s__Copromorpha excrementavium, 95.0, 76.42, 0.06; GCA_902766185.1, s__Copromorpha sp902766185, 95.0, 76.41, 0.07; GCA_902797095.1, s__Copromorpha sp902797095, 95.0, 76.24, 0.05; GCA_017433375.1, s__Copromorpha sp017433375, 95.0, 76.24, 0.07; GCA_902797195.1, s__Copromorpha sp902797195, 95.0, 76.04, 0.07; GCA_902772685.1, s__Copromorpha sp902772685, 95.0, 75.74, 0.04	55.9	11	0.9332839770584404	N/A
BIN247	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	16.84	11	0.6688476512231273	N/A
BIN248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__RGIG8002;g__RGIG8002;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__RGIG8002;g__RGIG8002;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.85	11	0.9022475297555972	N/A
